Order;Blocks;Band;Edge;Mid;Subject;Musicians;MSI_Perception;MSI_Training;dPrime;Hitrate;FA;Hit_Edge;Hit_NonEdge;Slope
2;2;3;0;0;26;true;11;45;2.08563;0.95;0.3;1;NaN;0.70907
2;2;3;0;0;27;true;12;43;1.16209;0.95;0.1;0.95;NaN;0.56782
2;2;3;0;0;28;true;27;41;2.92641;0.75;0.15;0.75;NaN;0.78313
2;2;3;0;0;29;true;7;33;0.54883;0.95;0.2;1;NaN;0.56762
2;2;3;0;0;30;true;8;37;0.37901;0.85;0.65;0.85;NaN;1.91521
2;2;4;1;0;1;false;31;55;3.28971;0.95;0.05;0.95;NaN;0.85889
2;2;4;1;0;2;false;13;52;1.64485;0.95;0.5;0.95;NaN;-0.26803
2;2;4;1;0;3;false;7;51;2.48436;0.95;0.3;1;NaN;1.19444
2;2;4;1;0;4;false;25;41;2.03017;0.65;0.05;0.65;NaN;-0.14845
2;2;4;1;0;5;false;30;58;3.24152;0.95;0.1;1;NaN;0.86811
2;2;4;1;0;6;false;10;39;1.40721;0.55;0.1;0.55;NaN;0.82643
2;2;4;1;0;7;false;32;57;2.63445;0.75;0.05;0.75;NaN;0.56092
2;2;4;1;0;8;false;34;47;1.51611;0.8;0.25;0.8;NaN;0.59712
2;2;4;1;0;9;false;32;54;3.60482;0.95;0.05;0.95;NaN;0.79778
2;2;4;1;0;10;false;16;48;1.57464;0.35;0.05;0.35;NaN;0.417
2;2;4;1;0;11;false;37;59;1.09497;0.6;0.2;0.6;NaN;0.27354
2;2;4;1;0;12;false;37;62;2.9964;0.85;0.05;0.85;NaN;0.70083
2;2;4;1;0;13;false;42;61;2.48436;0.7;0.05;0.7;NaN;0.11628
2;2;4;1;0;14;false;44;55;2.63445;0.75;0.05;0.75;NaN;0.76747
2;2;4;1;0;15;false;31;61;2.63445;0.75;0.05;0.75;NaN;1.35482
2;2;4;1;0;16;false;13;46;2.68129;0.85;0.05;0.85;NaN;1.27461
2;2;4;1;0;17;false;22;45;1.64485;0.95;0.5;0.95;NaN;0.32321
2;2;4;1;0;18;false;13;39;1.42175;0.65;0.15;0.65;NaN;0.65426
2;2;4;1;0;19;false;27;47;2.31934;0.75;0.05;0.75;NaN;0.93597
2;2;4;1;0;20;false;8;54;1.70662;0.4;0.05;0.4;NaN;0.42807
2;2;4;1;0;21;false;11;40;1.03643;0.5;0.15;0.5;NaN;0.19025
2;2;4;1;0;22;false;8;34;2.63445;0.95;0.25;1;NaN;1.03783
2;2;4;1;0;23;false;9;35;2.63445;0.9;0.05;0.9;NaN;0.69921
2;2;4;1;0;24;false;32;53;3.24152;0.6;0.05;0.6;NaN;0.87177
2;2;4;1;0;25;false;24;47;2.21331;0.65;0.05;0.65;NaN;1.08206
2;2;4;1;0;26;false;11;45;2.34528;0.4;0.05;0.4;NaN;0.70907
2;2;4;1;0;27;false;12;43;1.39151;0.95;0.15;1;NaN;0.56782
2;2;4;1;0;28;false;27;41;2.9964;0.7;0.2;0.7;NaN;0.78313
2;2;4;1;0;29;false;7;33;1.36602;0.95;0.1;0.95;NaN;0.56762
2;2;4;1;0;30;false;8;37;2.92641;0.85;0.05;0.85;NaN;1.91521
